,time,delay
0,2023-07-19 10:24:01,8.61
1,2023-07-19 10:25:00,15.255
2,2023-07-19 10:26:00,11.628
3,2023-07-19 10:27:00,10.945
4,2023-07-19 10:28:00,10.096
5,2023-07-19 10:29:00,11.636
6,2023-07-19 10:30:01,11.673
7,2023-07-19 10:31:00,11.194
8,2023-07-19 10:32:00,8.532
9,2023-07-19 10:33:00,8.617
10,2023-07-19 10:34:00,14.733
11,2023-07-19 10:35:00,9.485
12,2023-07-19 10:36:00,9.495
13,2023-07-19 10:37:00,10.239
14,2023-07-19 10:38:00,8.799
15,2023-07-19 10:39:00,114.858
16,2023-07-19 10:40:00,26.469
17,2023-07-19 10:41:00,12.54
18,2023-07-19 10:42:00,7.914
19,2023-07-19 10:43:00,10.35
20,2023-07-19 10:44:00,8.424
21,2023-07-19 10:45:01,10.045
22,2023-07-19 10:46:00,8.345
23,2023-07-19 10:47:00,27.158
24,2023-07-19 10:48:00,12.871
25,2023-07-19 10:49:00,11.904
26,2023-07-19 10:50:00,8.691
27,2023-07-19 10:51:01,11.665
28,2023-07-19 10:52:00,10.676
29,2023-07-19 10:53:00,8.121
30,2023-07-19 10:54:00,8.54
31,2023-07-19 10:55:00,inf
32,2023-07-19 10:56:00,15.845
33,2023-07-19 10:57:01,13.266
34,2023-07-19 10:58:00,9.382
35,2023-07-19 10:59:00,10.364
36,2023-07-19 11:00:00,186.021
37,2023-07-19 11:01:00,11.746
38,2023-07-19 11:02:01,10.562
39,2023-07-19 11:03:00,8.411
40,2023-07-19 11:04:00,8.754
41,2023-07-19 11:05:01,9.115
42,2023-07-19 11:06:00,11.777
43,2023-07-19 11:07:00,8.479
44,2023-07-19 11:08:00,8.516
45,2023-07-19 11:09:00,8.383
46,2023-07-19 11:10:00,10.369
47,2023-07-19 11:11:01,15.537
48,2023-07-19 11:12:00,10.132
49,2023-07-19 11:13:00,9.818
50,2023-07-19 11:14:00,39.842
51,2023-07-19 11:15:00,10.32
52,2023-07-19 11:16:01,16.185
53,2023-07-19 11:17:00,17.851
54,2023-07-19 11:18:00,8.567
55,2023-07-19 11:19:00,8.48
56,2023-07-19 11:20:00,9.707
57,2023-07-19 11:21:00,12.312
58,2023-07-19 11:22:00,8.588
59,2023-07-19 11:23:00,8.379
60,2023-07-19 11:24:00,9.468
61,2023-07-19 11:25:00,9.906
62,2023-07-19 11:26:00,14.482
63,2023-07-19 11:27:00,11.019
64,2023-07-19 11:28:01,12.576
65,2023-07-19 11:29:00,11.823
66,2023-07-19 11:30:00,12.805
67,2023-07-19 11:31:00,10.797
68,2023-07-19 11:32:00,11.705
69,2023-07-19 11:33:00,34.188
70,2023-07-19 11:34:00,11.117
71,2023-07-19 11:35:01,6.985
72,2023-07-19 11:36:00,27.054
73,2023-07-19 11:37:00,11.458
74,2023-07-19 11:38:00,13.732
75,2023-07-19 11:39:00,9.636
76,2023-07-19 11:40:00,7.985
77,2023-07-19 11:41:01,8.338
78,2023-07-19 11:42:00,18.442
